ChIP-Seq dataset	diPWM	SIM-TY HT-SELEX	SIM-TY HOCOMOCO	monoPWM	SIM-TY HT-SELEX	SIM-TY HOCOMOCO	TF	BEST SIM-TY	SIM-TY CHECK	CONSISTENCY CHECK	MOTIF CHECK	CHANCE TO SAVE
PEAKS010573	dichipmunk_pcm/ANDR_HUMAN^PEAKS010573.pcm	0.002806804	0.002235395	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010573.pcm	0.00279994	0.002357585	ANDR_HUMAN	0.002806804	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010577	dichipmunk_pcm/ANDR_HUMAN^PEAKS010577.pcm	0.002764063	0.001917393	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010577.pcm	9.41E-04	0.001956076	ANDR_HUMAN	0.002764063	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010583	dichipmunk_pcm/ANDR_HUMAN^PEAKS010583.pcm	0.00279779	0.002173819	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010583.pcm	0.003132958	0.002722625	ANDR_HUMAN	0.003132958	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010584	dichipmunk_pcm/ANDR_HUMAN^PEAKS010584.pcm	0.002891569	0.002361852	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010584.pcm	0.003335633	0.002343382	ANDR_HUMAN	0.003335633	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010641	dichipmunk_pcm/ANDR_HUMAN^PEAKS010641.pcm	0.158082798	0.140803589	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ANDR_HUMAN^PEAKS010641.pcm	0.148380066	0.115214643	ANDR_HUMAN	0.158082798	-	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020503	dichipmunk_pcm/AP2A_HUMAN^PEAKS020503.pcm	0.153500052	0.337353885	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2A_HUMAN^PEAKS020503.pcm	0.170530548	0.391173369	AP2A_HUMAN	0.391173369	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030102	dichipmunk_pcm/AP2A_HUMAN^PEAKS030102.pcm	0.127572863	0.151408095	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2A_HUMAN^PEAKS030102.pcm	0.003371768	0.002461877	AP2A_HUMAN	0.151408095	-	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030307	dichipmunk_pcm/AP2A_HUMAN^PEAKS030307.pcm	0.026301829	0.013976538	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2A_HUMAN^PEAKS030307.pcm	0.029010787	0.017518702	AP2A_HUMAN	0.029010787	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010076	dichipmunk_pcm/AP2C_HUMAN^PEAKS010076.pcm	0.130428086	0.278595568	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2C_HUMAN^PEAKS010076.pcm	0.162425874	0.335582546	AP2C_HUMAN	0.335582546	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010292	dichipmunk_pcm/AP2C_HUMAN^PEAKS010292.pcm	0.139478257	0.122990196	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2C_HUMAN^PEAKS010292.pcm	0.140006868	0.176267162	AP2C_HUMAN	0.176267162	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010294	dichipmunk_pcm/AP2C_HUMAN^PEAKS010294.pcm	0.082446561	0.11653719	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2C_HUMAN^PEAKS010294.pcm	0.138587724	0.189806045	AP2C_HUMAN	0.189806045	-	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020559	dichipmunk_pcm/AP2C_HUMAN^PEAKS020559.pcm	0.136554466	0.358824954	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/AP2C_HUMAN^PEAKS020559.pcm	0.150874174	0.301516878	AP2C_HUMAN	0.358824954	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020212	dichipmunk_pcm/ARI3A_HUMAN^PEAKS020212.pcm	NA	0.035938422	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ARI3A_HUMAN^PEAKS020212.pcm	NA	0.030597048	ARI3A_HUMAN	0.035938422	FAIL	-	FAIL	+
PEAKS020518	dichipmunk_pcm/ARI3A_HUMAN^PEAKS020518.pcm	NA	0.013369346	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ARI3A_HUMAN^PEAKS020518.pcm	NA	0.013557407	ARI3A_HUMAN	0.013557407	FAIL	-	FAIL	+
PEAKS030288	dichipmunk_pcm/ARNT2_HUMAN^PEAKS030288.pcm	NA	0.014292385	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ARNT2_HUMAN^PEAKS030288.pcm	NA	0.015195291	ARNT2_HUMAN	0.015195291	FAIL	IMPOSSIBLE	WRONG	-
PEAKS030110	dichipmunk_pcm/ARNT_HUMAN^PEAKS030110.pcm	NA	8.42E-04	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ARNT_HUMAN^PEAKS030110.pcm	NA	8.67E-04	ARNT_HUMAN	0.000866657	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030097	dichipmunk_pcm/ASCL2_HUMAN^PEAKS030097.pcm	0.003894566	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ASCL2_HUMAN^PEAKS030097.pcm	0.003792391	NA	ASCL2_HUMAN	0.003894566	FAIL	FAIL	FAIL	-
PEAKS010420	dichipmunk_pcm/ASCL2_MOUSE^PEAKS010420.pcm	0.001321723	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ASCL2_MOUSE^PEAKS010420.pcm	0.00321714	NA	ASCL2_MOUSE	0.00321714	FAIL	FAIL	FAIL	-
PEAKS020224	dichipmunk_pcm/ATF1_HUMAN^PEAKS020224.pcm	NA	0.2453343	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF1_HUMAN^PEAKS020224.pcm	NA	0.228981015	ATF1_HUMAN	0.2453343	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030108	dichipmunk_pcm/ATF1_HUMAN^PEAKS030108.pcm	NA	0.122170161	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF1_HUMAN^PEAKS030108.pcm	NA	0.179763186	ATF1_HUMAN	0.179763186	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020185	dichipmunk_pcm/ATF2_HUMAN^PEAKS020185.pcm	NA	0.00131278	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF2_HUMAN^PEAKS020185.pcm	NA	5.24E-04	ATF2_HUMAN	0.00131278	FAIL	FAIL	WRONG	-
PEAKS020839	dichipmunk_pcm/ATF2_HUMAN^PEAKS020839.pcm	NA	0.003097628	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF2_HUMAN^PEAKS020839.pcm	NA	0.00426799	ATF2_HUMAN	0.00426799	FAIL	FAIL	FAIL	-
PEAKS030109	dichipmunk_pcm/ATF2_HUMAN^PEAKS030109.pcm	NA	6.00E-04	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF2_HUMAN^PEAKS030109.pcm	NA	9.05E-04	ATF2_HUMAN	0.000905357	FAIL	FAIL	FAIL	-
PEAKS020021	dichipmunk_pcm/ATF3_HUMAN^PEAKS020021.pcm	NA	0.002291903	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020021.pcm	NA	0.001977605	ATF3_HUMAN	0.002291903	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020119	dichipmunk_pcm/ATF3_HUMAN^PEAKS020119.pcm	NA	0.033433837	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020119.pcm	NA	0.032716302	ATF3_HUMAN	0.033433837	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020187	dichipmunk_pcm/ATF3_HUMAN^PEAKS020187.pcm	NA	0.007815461	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020187.pcm	NA	0.011788787	ATF3_HUMAN	0.011788787	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020394	dichipmunk_pcm/ATF3_HUMAN^PEAKS020394.pcm	NA	0.002780268	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020394.pcm	NA	0.00533213	ATF3_HUMAN	0.00533213	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020564	dichipmunk_pcm/ATF3_HUMAN^PEAKS020564.pcm	NA	0.017308994	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020564.pcm	NA	0.017503409	ATF3_HUMAN	0.017503409	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020577	dichipmunk_pcm/ATF3_HUMAN^PEAKS020577.pcm	NA	0.014610219	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020577.pcm	NA	0.014396607	ATF3_HUMAN	0.014610219	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020772	dichipmunk_pcm/ATF3_HUMAN^PEAKS020772.pcm	NA	0.035849946	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS020772.pcm	NA	0.048408918	ATF3_HUMAN	0.048408918	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS021000	dichipmunk_pcm/ATF3_HUMAN^PEAKS021000.pcm	NA	0.047800017	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS021000.pcm	NA	0.050210241	ATF3_HUMAN	0.050210241	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS021004	dichipmunk_pcm/ATF3_HUMAN^PEAKS021004.pcm	NA	0.105263643	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF3_HUMAN^PEAKS021004.pcm	NA	0.154965535	ATF3_HUMAN	0.154965535	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030126	dichipmunk_pcm/ATF5_HUMAN^PEAKS030126.pcm	NA	0.006212108	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF5_HUMAN^PEAKS030126.pcm	NA	0.005574253	ATF5_HUMAN	0.006212108	FAIL	IMPOSSIBLE	FAIL	+
PEAKS030125	dichipmunk_pcm/ATF6A_HUMAN^PEAKS030125.pcm	NA	0.003789561	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATF6A_HUMAN^PEAKS030125.pcm	NA	0.003116775	ATF6A_HUMAN	0.003789561	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030297	dichipmunk_pcm/ATOH1_HUMAN^PEAKS030297.pcm	0.001273479	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATOH1_HUMAN^PEAKS030297.pcm	7.54E-04	NA	ATOH1_HUMAN	0.001273479	FAIL	-	FAIL	-
PEAKS010600	dichipmunk_pcm/ATOH1_MOUSE^PEAKS010600.pcm	0.126620256	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/ATOH1_MOUSE^PEAKS010600.pcm	0.160299625	NA	ATOH1_MOUSE	0.160299625	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020085	dichipmunk_pcm/BACH1_HUMAN^PEAKS020085.pcm	NA	0.258071245	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BACH1_HUMAN^PEAKS020085.pcm	NA	0.236861149	BACH1_HUMAN	0.258071245	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020596	dichipmunk_pcm/BACH1_HUMAN^PEAKS020596.pcm	NA	0.260151806	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BACH1_HUMAN^PEAKS020596.pcm	NA	0.187440384	BACH1_HUMAN	0.260151806	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030042	dichipmunk_pcm/BACH1_HUMAN^PEAKS030042.pcm	NA	0.002363047	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BACH1_HUMAN^PEAKS030042.pcm	NA	0.001171069	BACH1_HUMAN	0.002363047	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030014	dichipmunk_pcm/BARH1_HUMAN^PEAKS030014.pcm	4.86E-04	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BARH1_HUMAN^PEAKS030014.pcm	9.60E-04	NA	BARH1_HUMAN	0.000960216	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030140	dichipmunk_pcm/BARX1_HUMAN^PEAKS030140.pcm	8.99E-04	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BARX1_HUMAN^PEAKS030140.pcm	7.21E-04	NA	BARX1_HUMAN	0.00089875	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030142	dichipmunk_pcm/BARX2_HUMAN^PEAKS030142.pcm	NA	0.003506845	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BARX2_HUMAN^PEAKS030142.pcm	NA	0.003917804	BARX2_HUMAN	0.003917804	FAIL	IMPOSSIBLE	WRONG	-
PEAKS030060	dichipmunk_pcm/BATF3_HUMAN^PEAKS030060.pcm	0.001964329	NA	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BATF3_HUMAN^PEAKS030060.pcm	0.001148152	NA	BATF3_HUMAN	0.001964329	FAIL	IMPOSSIBLE	FAIL	-
PEAKS020165	dichipmunk_pcm/BATF_HUMAN^PEAKS020165.pcm	NA	0.11033447	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BATF_HUMAN^PEAKS020165.pcm	NA	0.120311348	BATF_HUMAN	0.120311348	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020169	dichipmunk_pcm/BATF_HUMAN^PEAKS020169.pcm	NA	0.125129423	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BATF_HUMAN^PEAKS020169.pcm	NA	0.129650253	BATF_HUMAN	0.129650253	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010078	dichipmunk_pcm/BCL6_HUMAN^PEAKS010078.pcm	NA	0.004571025	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BCL6_HUMAN^PEAKS010078.pcm	NA	0.0105022	BCL6_HUMAN	0.0105022	FAIL	FAIL	FAIL	-
PEAKS030271	dichipmunk_pcm/BCL6_HUMAN^PEAKS030271.pcm	NA	7.26E-04	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BCL6_HUMAN^PEAKS030271.pcm	NA	8.20E-04	BCL6_HUMAN	0.000819549	FAIL	FAIL	WRONG	-
PEAKS000486	dichipmunk_pcm/BCL6_MOUSE^PEAKS000486.pcm	NA	0.008661563	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BCL6_MOUSE^PEAKS000486.pcm	NA	0.006354471	BCL6_MOUSE	0.008661563	FAIL	FAIL	WRONG	-
PEAKS000538	dichipmunk_pcm/BCL6_MOUSE^PEAKS000538.pcm	NA	0.087637798	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BCL6_MOUSE^PEAKS000538.pcm	NA	0.08483078	BCL6_MOUSE	0.087637798	FAIL	PASS	PASS	-
PEAKS000539	dichipmunk_pcm/BCL6_MOUSE^PEAKS000539.pcm	NA	0.0334497	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BCL6_MOUSE^PEAKS000539.pcm	NA	0.001808192	BCL6_MOUSE	0.0334497	FAIL	PASS	PASS	-
PEAKS020198	dichipmunk_pcm/BHE40_HUMAN^PEAKS020198.pcm	5.06E-04	8.27E-04	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020198.pcm	7.80E-04	0.001515421	BHE40_HUMAN	0.001515421	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020349	dichipmunk_pcm/BHE40_HUMAN^PEAKS020349.pcm	0.236205957	0.198082894	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020349.pcm	0.243981283	0.204233636	BHE40_HUMAN	0.243981283	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020470	dichipmunk_pcm/BHE40_HUMAN^PEAKS020470.pcm	0.251732288	0.220162832	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020470.pcm	0.232670069	0.224024683	BHE40_HUMAN	0.251732288	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020473	dichipmunk_pcm/BHE40_HUMAN^PEAKS020473.pcm	0.255729254	0.191590274	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020473.pcm	0.257088601	0.197568568	BHE40_HUMAN	0.257088601	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020632	dichipmunk_pcm/BHE40_HUMAN^PEAKS020632.pcm	0.295445376	0.251480022	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020632.pcm	0.280778485	0.234522457	BHE40_HUMAN	0.295445376	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020640	dichipmunk_pcm/BHE40_HUMAN^PEAKS020640.pcm	0.268343596	0.262016477	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS020640.pcm	0.314704535	0.296069869	BHE40_HUMAN	0.314704535	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030321	dichipmunk_pcm/BHE40_HUMAN^PEAKS030321.pcm	0.003040455	0.002664649	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_HUMAN^PEAKS030321.pcm	0.002833063	0.002339813	BHE40_HUMAN	0.003040455	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS020009	dichipmunk_pcm/BHE40_MOUSE^PEAKS020009.pcm	0.321741296	0.2730309	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BHE40_MOUSE^PEAKS020009.pcm	0.34641122	0.255389718	BHE40_MOUSE	0.34641122	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS030301	dichipmunk_pcm/BMAL1_HUMAN^PEAKS030301.pcm	0.001854321	0.003161311	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_HUMAN^PEAKS030301.pcm	7.31E-04	0.002506434	BMAL1_HUMAN	0.003161311	FAIL	FAIL	WRONG	-
PEAKS000526	dichipmunk_pcm/BMAL1_MOUSE^PEAKS000526.pcm	0.069009705	0.05834996	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_MOUSE^PEAKS000526.pcm	0.002906178	0.003450287	BMAL1_MOUSE	0.069009705	FAIL	FAIL	PROBABLY	-
PEAKS000527	dichipmunk_pcm/BMAL1_MOUSE^PEAKS000527.pcm	0.072554912	0.055992211	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_MOUSE^PEAKS000527.pcm	0.00187876	0.002739107	BMAL1_MOUSE	0.072554912	FAIL	FAIL	PROBABLY	-
PEAKS000528	dichipmunk_pcm/BMAL1_MOUSE^PEAKS000528.pcm	0.001022262	0.001934096	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_MOUSE^PEAKS000528.pcm	0.001615994	0.005942225	BMAL1_MOUSE	0.005942225	FAIL	FAIL	-	-
PEAKS000529	dichipmunk_pcm/BMAL1_MOUSE^PEAKS000529.pcm	8.54E-04	0.001585317	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_MOUSE^PEAKS000529.pcm	0.002127458	0.001759098	BMAL1_MOUSE	0.002127458	FAIL	FAIL	-	-
PEAKS000531	dichipmunk_pcm/BMAL1_MOUSE^PEAKS000531.pcm	0.002127884	0.002873353	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BMAL1_MOUSE^PEAKS000531.pcm	0.001723992	0.003875941	BMAL1_MOUSE	0.003875941	FAIL	FAIL	-	-
PEAKS030028	dichipmunk_pcm/BRAC_HUMAN^PEAKS030028.pcm	0.002264025	0.002647675	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/BRAC_HUMAN^PEAKS030028.pcm	0.001461118	0.002710337	BRAC_HUMAN	0.002710337	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030150	dichipmunk_pcm/CDC5L_HUMAN^PEAKS030150.pcm	NA	0.004060529	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CDC5L_HUMAN^PEAKS030150.pcm	NA	0.004071988	CDC5L_HUMAN	0.004071988	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030184	dichipmunk_pcm/CDX1_HUMAN^PEAKS030184.pcm	0.001771026	0.003725921	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CDX1_HUMAN^PEAKS030184.pcm	0.002357237	0.003029183	CDX1_HUMAN	0.003725921	FAIL	IMPOSSIBLE	FAIL	-
PEAKS030185	dichipmunk_pcm/CDX2_HUMAN^PEAKS030185.pcm	0.001424363	0.001429947	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CDX2_HUMAN^PEAKS030185.pcm	0.002848937	0.002815114	CDX2_HUMAN	0.002848937	FAIL	IMPOSSIBLE	FAIL	-
PEAKS010285	dichipmunk_pcm/CEBPA_HUMAN^PEAKS010285.pcm	NA	0.002021205	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CEBPA_HUMAN^PEAKS010285.pcm	NA	0.002095954	CEBPA_HUMAN	0.002095954	FAIL	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010480	dichipmunk_pcm/CEBPA_HUMAN^PEAKS010480.pcm	NA	0.350610286	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CEBPA_HUMAN^PEAKS010480.pcm	NA	0.546543779	CEBPA_HUMAN	0.546543779	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010497	dichipmunk_pcm/CEBPA_HUMAN^PEAKS010497.pcm	NA	0.32634525	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CEBPA_HUMAN^PEAKS010497.pcm	NA	0.389477486	CEBPA_HUMAN	0.389477486	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010499	dichipmunk_pcm/CEBPA_HUMAN^PEAKS010499.pcm	NA	0.284659132	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CEBPA_HUMAN^PEAKS010499.pcm	NA	0.332394342	CEBPA_HUMAN	0.332394342	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
PEAKS010267	dichipmunk_pcm/CEBPA_MOUSE^PEAKS010267.pcm	NA	0.004956529	d:/Gbx/proj/chipseqmass.r1.kolpakov/process/mono/CEBPA_MOUSE^PEAKS010267.pcm	NA	0.35888441	CEBPA_MOUSE	0.35888441	PASS	NOT REQUIRED	NOT REQUIRED	NOT REQUIRED
